date,y,#affected+arrivegreekislands.1,#affected+arrivemainlandgreece.1,#affected+arrivefyrom.1,#affected+arriveserbia.1,#affected+arrivegreekislands.2,#affected+arrivemainlandgreece.2,#affected+arrivefyrom.2,#affected+arriveserbia.2,#affected+arrivegreekislands.3,#affected+arrivemainlandgreece.3,#affected+arrivefyrom.3,#affected+arriveserbia.3,#affected+arrivegreekislands.4,#affected+arrivemainlandgreece.4,#affected+arrivefyrom.4,#affected+arriveserbia.4,#affected+arrivegreekislands.5,#affected+arrivemainlandgreece.5,#affected+arrivefyrom.5,#affected+arriveserbia.5,#affected+arrivegreekislands.6,#affected+arrivemainlandgreece.6,#affected+arrivefyrom.6,#affected+arriveserbia.6,#affected+arrivegreekislands.7,#affected+arrivemainlandgreece.7,#affected+arrivefyrom.7,#affected+arriveserbia.7
05/01/2016,2650,1917,3549,1415,1462,2241,2249,2112,2889,3203,720,2918,2947,828,623,2454,2745,948,2009,3848,3602,2552,4021,1665,1879,3643,5309,2577,2629
06/01/2016,2273,779,1998,2842,2041,1917,3549,1415,1462,2241,2249,2112,2889,3203,720,2918,2947,828,623,2454,2745,948,2009,3848,3602,2552,4021,1665,1879
07/01/2016,2814,1067,2377,2258,3273,779,1998,2842,2041,1917,3549,1415,1462,2241,2249,2112,2889,3203,720,2918,2947,828,623,2454,2745,948,2009,3848,3602
08/01/2016,3332,119,463,1776,1715,1067,2377,2258,3273,779,1998,2842,2041,1917,3549,1415,1462,2241,2249,2112,2889,3203,720,2918,2947,828,623,2454,2745
09/01/2016,1799,1475,716,1344,2100,119,463,1776,1715,1067,2377,2258,3273,779,1998,2842,2041,1917,3549,1415,1462,2241,2249,2112,2889,3203,720,2918,2947
10/01/2016,942,5050,533,715,489,1475,716,1344,2100,119,463,1776,1715,1067,2377,2258,3273,779,1998,2842,2041,1917,3549,1415,1462,2241,2249,2112,2889
11/01/2016,1549,2410,2417,819,1538,5050,533,715,489,1475,716,1344,2100,119,463,1776,1715,1067,2377,2258,3273,779,1998,2842,2041,1917,3549,1415,1462
12/01/2016,769,2645,1621,1959,905,2410,2417,819,1538,5050,533,715,489,1475,716,1344,2100,119,463,1776,1715,1067,2377,2258,3273,779,1998,2842,2041
13/01/2016,1679,571,1701,1840,1743,2645,1621,1959,905,2410,2417,819,1538,5050,533,715,489,1475,716,1344,2100,119,463,1776,1715,1067,2377,2258,3273
14/01/2016,2502,408,3661,1600,1973,571,1701,1840,1743,2645,1621,1959,905,2410,2417,819,1538,5050,533,715,489,1475,716,1344,2100,119,463,1776,1715
15/01/2016,2493,1792,1378,3022,3006,408,3661,1600,1973,571,1701,1840,1743,2645,1621,1959,905,2410,2417,819,1538,5050,533,715,489,1475,716,1344,2100
16/01/2016,3579,4150,1551,2119,3213,1792,1378,3022,3006,408,3661,1600,1973,571,1701,1840,1743,2645,1621,1959,905,2410,2417,819,1538,5050,533,715,489
17/01/2016,878,1188,301,1598,415,4150,1551,2119,3213,1792,1378,3022,3006,408,3661,1600,1973,571,1701,1840,1743,2645,1621,1959,905,2410,2417,819,1538
18/01/2016,1930,217,3324,720,1995,1188,301,1598,415,4150,1551,2119,3213,1792,1378,3022,3006,408,3661,1600,1973,571,1701,1840,1743,2645,1621,1959,905
19/01/2016,1917,435,2759,1980,1362,217,3324,720,1995,1188,301,1598,415,4150,1551,2119,3213,1792,1378,3022,3006,408,3661,1600,1973,571,1701,1840,1743
20/01/2016,914,964,695,2298,2244,435,2759,1980,1362,217,3324,720,1995,1188,301,1598,415,4150,1551,2119,3213,1792,1378,3022,3006,408,3661,1600,1973
21/01/2016,1865,3748,50,0,1113,964,695,2298,2244,435,2759,1980,1362,217,3324,720,1995,1188,301,1598,415,4150,1551,2119,3213,1792,1378,3022,3006
22/01/2016,1599,3166,1108,892,397,3748,50,0,1113,964,695,2298,2244,435,2759,1980,1362,217,3324,720,1995,1188,301,1598,415,4150,1551,2119,3213
23/01/2016,1394,4176,3451,1030,1134,3166,1108,892,397,3748,50,0,1113,964,695,2298,2244,435,2759,1980,1362,217,3324,720,1995,1188,301,1598,415
24/01/2016,946,1124,4397,1208,1064,4176,3451,1030,1134,3166,1108,892,397,3748,50,0,1113,964,695,2298,2244,435,2759,1980,1362,217,3324,720,1995
25/01/2016,1847,418,2706,2174,1895,1124,4397,1208,1064,4176,3451,1030,1134,3166,1108,892,397,3748,50,0,1113,964,695,2298,2244,435,2759,1980,1362
26/01/2016,1309,1295,819,2836,2827,418,2706,2174,1895,1124,4397,1208,1064,4176,3451,1030,1134,3166,1108,892,397,3748,50,0,1113,964,695,2298,2244
27/01/2016,3256,2808,1887,2908,3091,1295,819,2836,2827,418,2706,2174,1895,1124,4397,1208,1064,4176,3451,1030,1134,3166,1108,892,397,3748,50,0,1113
28/01/2016,3565,2488,1098,1402,1695,2808,1887,2908,3091,1295,819,2836,2827,418,2706,2174,1895,1124,4397,1208,1064,4176,3451,1030,1134,3166,1108,892,397
29/01/2016,1843,3180,1046,1837,1940,2488,1098,1402,1695,2808,1887,2908,3091,1295,819,2836,2827,418,2706,2174,1895,1124,4397,1208,1064,4176,3451,1030,1134
30/01/2016,2641,2076,40,2292,2167,3180,1046,1837,1940,2488,1098,1402,1695,2808,1887,2908,3091,1295,819,2836,2827,418,2706,2174,1895,1124,4397,1208,1064
31/01/2016,2098,2623,53,931,1540,2076,40,2292,2167,3180,1046,1837,1940,2488,1098,1402,1695,2808,1887,2908,3091,1295,819,2836,2827,418,2706,2174,1895
01/02/2016,0,2105,5342,0,103,2623,53,931,1540,2076,40,2292,2167,3180,1046,1837,1940,2488,1098,1402,1695,2808,1887,2908,3091,1295,819,2836,2827
02/02/2016,822,1244,5783,908,660,2105,5342,0,103,2623,53,931,1540,2076,40,2292,2167,3180,1046,1837,1940,2488,1098,1402,1695,2808,1887,2908,3091
03/02/2016,881,2368,1878,1121,966,1244,5783,908,660,2105,5342,0,103,2623,53,931,1540,2076,40,2292,2167,3180,1046,1837,1940,2488,1098,1402,1695
04/02/2016,1836,3299,3829,2558,2825,2368,1878,1121,966,1244,5783,908,660,2105,5342,0,103,2623,53,931,1540,2076,40,2292,2167,3180,1046,1837,1940
05/02/2016,1750,565,1436,2173,2653,3299,3829,2558,2825,2368,1878,1121,966,1244,5783,908,660,2105,5342,0,103,2623,53,931,1540,2076,40,2292,2167
06/02/2016,3510,38,0,3259,2694,565,1436,2173,2653,3299,3829,2558,2825,2368,1878,1121,966,1244,5783,908,660,2105,5342,0,103,2623,53,931,1540
07/02/2016,2658,7,578,1780,1901,38,0,3259,2694,565,1436,2173,2653,3299,3829,2558,2825,2368,1878,1121,966,1244,5783,908,660,2105,5342,0,103
08/02/2016,2736,608,1097,2838,2739,7,578,1780,1901,38,0,3259,2694,565,1436,2173,2653,3299,3829,2558,2825,2368,1878,1121,966,1244,5783,908,660
09/02/2016,2764,2418,1259,2392,2563,608,1097,2838,2739,7,578,1780,1901,38,0,3259,2694,565,1436,2173,2653,3299,3829,2558,2825,2368,1878,1121,966
10/02/2016,2544,3676,2283,2441,2379,2418,1259,2392,2563,608,1097,2838,2739,7,578,1780,1901,38,0,3259,2694,565,1436,2173,2653,3299,3829,2558,2825
11/02/2016,1716,1071,793,1817,1758,3676,2283,2441,2379,2418,1259,2392,2563,608,1097,2838,2739,7,578,1780,1901,38,0,3259,2694,565,1436,2173,2653
12/02/2016,2635,502,2756,2540,2636,1071,793,1817,1758,3676,2283,2441,2379,2418,1259,2392,2563,608,1097,2838,2739,7,578,1780,1901,38,0,3259,2694
13/02/2016,2595,123,496,2115,1923,502,2756,2540,2636,1071,793,1817,1758,3676,2283,2441,2379,2418,1259,2392,2563,608,1097,2838,2739,7,578,1780,1901
14/02/2016,1749,186,161,1019,1699,123,496,2115,1923,502,2756,2540,2636,1071,793,1817,1758,3676,2283,2441,2379,2418,1259,2392,2563,608,1097,2838,2739
15/02/2016,512,51,724,452,641,186,161,1019,1699,123,496,2115,1923,502,2756,2540,2636,1071,793,1817,1758,3676,2283,2441,2379,2418,1259,2392,2563
