date,y,#affected+arrivegreekislands.1,#affected+arrivegermany.1,#affected+arrivegreekislands.2,#affected+arrivegermany.2,#affected+arrivegreekislands.3,#affected+arrivegermany.3,#affected+arrivegreekislands.4,#affected+arrivegermany.4,#affected+arrivegreekislands.5,#affected+arrivegermany.5,#affected+arrivegreekislands.6,#affected+arrivegermany.6,#affected+arrivegreekislands.7,#affected+arrivegermany.7
25/02/2016,2468,2044,140,3474,103,2545,724,1618,808,3772,427,2440,257,4824,673
26/02/2016,649,1675,525,2044,140,3474,103,2545,724,1618,808,3772,427,2440,257
27/02/2016,2525,2972,628,1675,525,2044,140,3474,103,2545,724,1618,808,3772,427
28/02/2016,3234,1355,547,2972,628,1675,525,2044,140,3474,103,2545,724,1618,808
29/02/2016,920,3651,520,1355,547,2972,628,1675,525,2044,140,3474,103,2545,724
01/03/2016,1107,2072,141,3651,520,1355,547,2972,628,1675,525,2044,140,3474,103
02/03/2016,2073,609,141,2072,141,3651,520,1355,547,2972,628,1675,525,2044,140
03/03/2016,1061,2162,523,609,141,2072,141,3651,520,1355,547,2972,628,1675,525
04/03/2016,1035,2569,585,2162,523,609,141,2072,141,3651,520,1355,547,2972,628
05/03/2016,1444,332,233,2569,585,2162,523,609,141,2072,141,3651,520,1355,547
06/03/2016,980,630,355,332,233,2569,585,2162,523,609,141,2072,141,3651,520
07/03/2016,1171,2480,502,630,355,332,233,2569,585,2162,523,609,141,2072,141
08/03/2016,922,728,190,2480,502,630,355,332,233,2569,585,2162,523,609,141
09/03/2016,1169,811,162,728,190,2480,502,630,355,332,233,2569,585,2162,523
10/03/2016,1381,3340,125,811,162,728,190,2480,502,630,355,332,233,2569,585
11/03/2016,810,835,139,3340,125,811,162,728,190,2480,502,630,355,332,233
12/03/2016,1326,232,134,835,139,3340,125,811,162,728,190,2480,502,630,355
13/03/2016,831,2578,253,232,134,835,139,3340,125,811,162,728,190,2480,502
14/03/2016,693,1418,183,2578,253,232,134,835,139,3340,125,811,162,728,190
15/03/2016,721,301,100,1418,183,2578,253,232,134,835,139,3340,125,811,162
16/03/2016,882,128,83,301,100,1418,183,2578,253,232,134,835,139,3340,125
17/03/2016,1068,252,78,128,83,301,100,1418,183,2578,253,232,134,835,139
18/03/2016,489,263,88,252,78,128,83,301,100,1418,183,2578,253,232,134
19/03/2016,608,1431,100,263,88,252,78,128,83,301,100,1418,183,2578,253
20/03/2016,4314,926,173,1431,100,263,88,252,78,128,83,301,100,1418,183
