date,y,#affected+arrivegreekislands.1,#affected+arrivemainlandgreece.1,#affected+arrivefyrom.1,#affected+arriveserbia.1,#affected+arrivecroatia.1,#affected+arrivegreekislands.2,#affected+arrivemainlandgreece.2,#affected+arrivefyrom.2,#affected+arriveserbia.2,#affected+arrivecroatia.2,#affected+arrivegreekislands.3,#affected+arrivemainlandgreece.3,#affected+arrivefyrom.3,#affected+arriveserbia.3,#affected+arrivecroatia.3,#affected+arrivegreekislands.4,#affected+arrivemainlandgreece.4,#affected+arrivefyrom.4,#affected+arriveserbia.4,#affected+arrivecroatia.4,#affected+arrivegreekislands.5,#affected+arrivemainlandgreece.5,#affected+arrivefyrom.5,#affected+arriveserbia.5,#affected+arrivecroatia.5,#affected+arrivegreekislands.6,#affected+arrivemainlandgreece.6,#affected+arrivefyrom.6,#affected+arriveserbia.6,#affected+arrivecroatia.6,#affected+arrivegreekislands.7,#affected+arrivemainlandgreece.7,#affected+arrivefyrom.7,#affected+arriveserbia.7,#affected+arrivecroatia.7
01/03/2016,70,2072,920,208,69,0,3651,3234,92,431,358,1355,2525,310,158,385,2972,649,20,0,250,1675,2468,168,475,841,2044,3086,551,1,0,3474,1927,382,106,507
02/03/2016,167,609,1107,30,372,436,2072,920,208,69,0,3651,3234,92,431,358,1355,2525,310,158,385,2972,649,20,0,250,1675,2468,168,475,841,2044,3086,551,1,0
03/03/2016,107,2162,2073,457,16,476,609,1107,30,372,436,2072,920,208,69,0,3651,3234,92,431,358,1355,2525,310,158,385,2972,649,20,0,250,1675,2468,168,475,841
04/03/2016,248,2569,1061,269,428,0,2162,2073,457,16,476,609,1107,30,372,436,2072,920,208,69,0,3651,3234,92,431,358,1355,2525,310,158,385,2972,649,20,0,250
05/03/2016,89,332,1035,177,218,410,2569,1061,269,428,0,2162,2073,457,16,476,609,1107,30,372,436,2072,920,208,69,0,3651,3234,92,431,358,1355,2525,310,158,385
06/03/2016,72,630,1444,293,115,253,332,1035,177,218,410,2569,1061,269,428,0,2162,2073,457,16,476,609,1107,30,372,436,2072,920,208,69,0,3651,3234,92,431,358
07/03/2016,96,2480,980,261,236,0,630,1444,293,115,253,332,1035,177,218,410,2569,1061,269,428,0,2162,2073,457,16,476,609,1107,30,372,436,2072,920,208,69,0
08/03/2016,127,728,1171,127,14,0,2480,980,261,236,0,630,1444,293,115,253,332,1035,177,218,410,2569,1061,269,428,0,2162,2073,457,16,476,609,1107,30,372,436
09/03/2016,27,811,922,0,0,0,728,1171,127,14,0,2480,980,261,236,0,630,1444,293,115,253,332,1035,177,218,410,2569,1061,269,428,0,2162,2073,457,16,476
10/03/2016,20,3340,1169,0,3,0,811,922,0,0,0,728,1171,127,14,0,2480,980,261,236,0,630,1444,293,115,253,332,1035,177,218,410,2569,1061,269,428,0
11/03/2016,112,835,1381,0,0,0,3340,1169,0,3,0,811,922,0,0,0,728,1171,127,14,0,2480,980,261,236,0,630,1444,293,115,253,332,1035,177,218,410
12/03/2016,195,232,810,0,0,0,835,1381,0,0,0,3340,1169,0,3,0,811,922,0,0,0,728,1171,127,14,0,2480,980,261,236,0,630,1444,293,115,253
13/03/2016,98,2578,1326,0,35,0,232,810,0,0,0,835,1381,0,0,0,3340,1169,0,3,0,811,922,0,0,0,728,1171,127,14,0,2480,980,261,236,0
14/03/2016,51,1418,831,0,12,0,2578,1326,0,35,0,232,810,0,0,0,835,1381,0,0,0,3340,1169,0,3,0,811,922,0,0,0,728,1171,127,14,0
15/03/2016,79,301,693,0,0,0,1418,831,0,12,0,2578,1326,0,35,0,232,810,0,0,0,835,1381,0,0,0,3340,1169,0,3,0,811,922,0,0,0
16/03/2016,83,128,721,0,0,0,301,693,0,0,0,1418,831,0,12,0,2578,1326,0,35,0,232,810,0,0,0,835,1381,0,0,0,3340,1169,0,3,0
17/03/2016,91,252,882,0,0,0,128,721,0,0,0,301,693,0,0,0,1418,831,0,12,0,2578,1326,0,35,0,232,810,0,0,0,835,1381,0,0,0
18/03/2016,53,263,1068,0,0,0,252,882,0,0,0,128,721,0,0,0,301,693,0,0,0,1418,831,0,12,0,2578,1326,0,35,0,232,810,0,0,0
19/03/2016,100,1431,489,0,0,0,263,1068,0,0,0,252,882,0,0,0,128,721,0,0,0,301,693,0,0,0,1418,831,0,12,0,2578,1326,0,35,0
20/03/2016,66,926,608,0,30,0,1431,489,0,0,0,263,1068,0,0,0,252,882,0,0,0,128,721,0,0,0,301,693,0,0,0,1418,831,0,12,0
21/03/2016,150,931,4314,0,0,0,926,608,0,30,0,1431,489,0,0,0,263,1068,0,0,0,252,882,0,0,0,128,721,0,0,0,301,693,0,0,0
22/03/2016,129,880,616,0,0,0,931,4314,0,0,0,926,608,0,30,0,1431,489,0,0,0,263,1068,0,0,0,252,882,0,0,0,128,721,0,0,0
23/03/2016,83,539,254,0,0,0,880,616,0,0,0,931,4314,0,0,0,926,608,0,30,0,1431,489,0,0,0,263,1068,0,0,0,252,882,0,0,0
24/03/2016,140,269,95,0,49,0,539,254,0,0,0,880,616,0,0,0,931,4314,0,0,0,926,608,0,30,0,1431,489,0,0,0,263,1068,0,0,0
25/03/2016,140,83,316,0,31,0,269,95,0,49,0,539,254,0,0,0,880,616,0,0,0,931,4314,0,0,0,926,608,0,30,0,1431,489,0,0,0
26/03/2016,66,177,22,0,38,0,83,316,0,31,0,269,95,0,49,0,539,254,0,0,0,880,616,0,0,0,931,4314,0,0,0,926,608,0,30,0
27/03/2016,144,5,25,0,0,0,177,22,0,38,0,83,316,0,31,0,269,95,0,49,0,539,254,0,0,0,880,616,0,0,0,931,4314,0,0,0
28/03/2016,255,144,113,0,4,0,5,25,0,0,0,177,22,0,38,0,83,316,0,31,0,269,95,0,49,0,539,254,0,0,0,880,616,0,0,0
29/03/2016,107,161,0,0,42,0,144,113,0,4,0,5,25,0,0,0,177,22,0,38,0,83,316,0,31,0,269,95,0,49,0,539,254,0,0,0
30/03/2016,194,741,76,0,37,0,161,0,0,42,0,144,113,0,4,0,5,25,0,0,0,177,22,0,38,0,83,316,0,31,0,269,95,0,49,0
31/03/2016,83,267,11,0,21,0,741,76,0,37,0,161,0,0,42,0,144,113,0,4,0,5,25,0,0,0,177,22,0,38,0,83,316,0,31,0
01/04/2016,96,401,68,0,14,0,267,11,0,21,0,741,76,0,37,0,161,0,0,42,0,144,113,0,4,0,5,25,0,0,0,177,22,0,38,0
02/04/2016,144,555,102,0,28,0,401,68,0,14,0,267,11,0,21,0,741,76,0,37,0,161,0,0,42,0,144,113,0,4,0,5,25,0,0,0
03/04/2016,61,231,132,0,32,0,555,102,0,28,0,401,68,0,14,0,267,11,0,21,0,741,76,0,37,0,161,0,0,42,0,144,113,0,4,0
04/04/2016,40,262,105,0,10,0,231,132,0,32,0,555,102,0,28,0,401,68,0,14,0,267,11,0,21,0,741,76,0,37,0,161,0,0,42,0
05/04/2016,133,228,0,0,28,0,262,105,0,10,0,231,132,0,32,0,555,102,0,28,0,401,68,0,14,0,267,11,0,21,0,741,76,0,37,0
06/04/2016,159,28,31,0,0,0,228,0,0,28,0,262,105,0,10,0,231,132,0,32,0,555,102,0,28,0,401,68,0,14,0,267,11,0,21,0
07/04/2016,116,70,7,0,4,0,28,31,0,0,0,228,0,0,28,0,262,105,0,10,0,231,132,0,32,0,555,102,0,28,0,401,68,0,14,0
08/04/2016,229,157,32,0,58,0,70,7,0,4,0,28,31,0,0,0,228,0,0,28,0,262,105,0,10,0,231,132,0,32,0,555,102,0,28,0
09/04/2016,17,116,17,0,93,0,157,32,0,58,0,70,7,0,4,0,28,31,0,0,0,228,0,0,28,0,262,105,0,10,0,231,132,0,32,0
10/04/2016,165,59,14,0,8,0,116,17,0,93,0,157,32,0,58,0,70,7,0,4,0,28,31,0,0,0,228,0,0,28,0,262,105,0,10,0
11/04/2016,101,0,16,0,30,0,59,14,0,8,0,116,17,0,93,0,157,32,0,58,0,70,7,0,4,0,28,31,0,0,0,228,0,0,28,0
12/04/2016,153,75,64,0,34,0,0,16,0,30,0,59,14,0,8,0,116,17,0,93,0,157,32,0,58,0,70,7,0,4,0,28,31,0,0,0
13/04/2016,82,101,5,0,22,0,75,64,0,34,0,0,16,0,30,0,59,14,0,8,0,116,17,0,93,0,157,32,0,58,0,70,7,0,4,0
14/04/2016,102,30,10,0,3,0,101,5,0,22,0,75,64,0,34,0,0,16,0,30,0,59,14,0,8,0,116,17,0,93,0,157,32,0,58,0
15/04/2016,168,106,36,0,34,0,30,10,0,3,0,101,5,0,22,0,75,64,0,34,0,0,16,0,30,0,59,14,0,8,0,116,17,0,93,0
16/04/2016,144,79,0,0,90,0,106,36,0,34,0,30,10,0,3,0,101,5,0,22,0,75,64,0,34,0,0,16,0,30,0,59,14,0,8,0
17/04/2016,79,55,0,0,41,0,79,0,0,90,0,106,36,0,34,0,30,10,0,3,0,101,5,0,22,0,75,64,0,34,0,0,16,0,30,0
18/04/2016,174,107,34,0,15,0,55,0,0,41,0,79,0,0,90,0,106,36,0,34,0,30,10,0,3,0,101,5,0,22,0,75,64,0,34,0
