greekislands+0,greekmainland+0,fyrom+0,serbia+0,croatia+0,slovenia+0,austria+0,greekislands-1,greekmainland-1,fyrom-1,serbia-1,croatia-1,slovenia-1,austria-1,greekislands-2,greekmainland-2,fyrom-2,serbia-2,croatia-2,slovenia-2,austria-2,greekislands-3,greekmainland-3,fyrom-3,serbia-3,croatia-3,slovenia-3,austria-3,greekislands-4,greekmainland-4,fyrom-4,serbia-4,croatia-4,slovenia-4,austria-4,greekislands-5,greekmainland-5,fyrom-5,serbia-5,croatia-5,slovenia-5,austria-5,greekislands-6,greekmainland-6,fyrom-6,serbia-6,croatia-6,slovenia-6,austria-6,greekislands-7,greekmainland-7,fyrom-7,serbia-7,croatia-7,slovenia-7,austria-7
3389,2173,2349,2067,2160,2098,4193,5005,3138,2644,2353,4174,4250,4263,1738,1976,2849,2698,3112,3016,4754,1671,2235,3338,4339,5225,4271,3675,1999,3079,4047,3747,3149,3149,2000,3308,3456,2956,3723,2076,2078,3623,3203,5947,2550,1807,3027,4103,4714,4721,2189,1508,2437,4335,5351,5210
5005,3138,2644,2353,4174,4250,4263,1738,1976,2849,2698,3112,3016,4754,1671,2235,3338,4339,5225,4271,3675,1999,3079,4047,3747,3149,3149,2000,3308,3456,2956,3723,2076,2078,3623,3203,5947,2550,1807,3027,4103,4714,4721,2189,1508,2437,4335,5351,5210,5287,2810,3826,4823,4162,4240,5035
1738,1976,2849,2698,3112,3016,4754,1671,2235,3338,4339,5225,4271,3675,1999,3079,4047,3747,3149,3149,2000,3308,3456,2956,3723,2076,2078,3623,3203,5947,2550,1807,3027,4103,4714,4721,2189,1508,2437,4335,5351,5210,5287,2810,3826,4823,4162,4240,5035,4978,2943,4425,4686,5339,4288,1643
1671,2235,3338,4339,5225,4271,3675,1999,3079,4047,3747,3149,3149,2000,3308,3456,2956,3723,2076,2078,3623,3203,5947,2550,1807,3027,4103,4714,4721,2189,1508,2437,4335,5351,5210,5287,2810,3826,4823,4162,4240,5035,4978,2943,4425,4686,5339,4288,1643,2110,3172,4430,3799,1835,715,1493
1999,3079,4047,3747,3149,3149,2000,3308,3456,2956,3723,2076,2078,3623,3203,5947,2550,1807,3027,4103,4714,4721,2189,1508,2437,4335,5351,5210,5287,2810,3826,4823,4162,4240,5035,4978,2943,4425,4686,5339,4288,1643,2110,3172,4430,3799,1835,715,1493,2435,3844,3436,1927,611,1577,3366
3308,3456,2956,3723,2076,2078,3623,3203,5947,2550,1807,3027,4103,4714,4721,2189,1508,2437,4335,5351,5210,5287,2810,3826,4823,4162,4240,5035,4978,2943,4425,4686,5339,4288,1643,2110,3172,4430,3799,1835,715,1493,2435,3844,3436,1927,611,1577,3366,2671,2255,494,553,4174,3237,2935
3203,5947,2550,1807,3027,4103,4714,4721,2189,1508,2437,4335,5351,5210,5287,2810,3826,4823,4162,4240,5035,4978,2943,4425,4686,5339,4288,1643,2110,3172,4430,3799,1835,715,1493,2435,3844,3436,1927,611,1577,3366,2671,2255,494,553,4174,3237,2935,3863,4384,3174,4040,1982,3077,2874
4721,2189,1508,2437,4335,5351,5210,5287,2810,3826,4823,4162,4240,5035,4978,2943,4425,4686,5339,4288,1643,2110,3172,4430,3799,1835,715,1493,2435,3844,3436,1927,611,1577,3366,2671,2255,494,553,4174,3237,2935,3863,4384,3174,4040,1982,3077,2874,4386,2057,3094,3284,2066,1709,2821
5287,2810,3826,4823,4162,4240,5035,4978,2943,4425,4686,5339,4288,1643,2110,3172,4430,3799,1835,715,1493,2435,3844,3436,1927,611,1577,3366,2671,2255,494,553,4174,3237,2935,3863,4384,3174,4040,1982,3077,2874,4386,2057,3094,3284,2066,1709,2821,4744,4090,2270,1009,4009,4274,4482
4978,2943,4425,4686,5339,4288,1643,2110,3172,4430,3799,1835,715,1493,2435,3844,3436,1927,611,1577,3366,2671,2255,494,553,4174,3237,2935,3863,4384,3174,4040,1982,3077,2874,4386,2057,3094,3284,2066,1709,2821,4744,4090,2270,1009,4009,4274,4482,4703,3736,1373,3825,3060,2843,2407
