date,y,#affected+arrivegreekislands.1,#affected+arrivemainlandgreece.1,#affected+arrivefyrom.1,#affected+arrivegreekislands.2,#affected+arrivemainlandgreece.2,#affected+arrivefyrom.2,#affected+arrivegreekislands.3,#affected+arrivemainlandgreece.3,#affected+arrivefyrom.3,#affected+arrivegreekislands.4,#affected+arrivemainlandgreece.4,#affected+arrivefyrom.4,#affected+arrivegreekislands.5,#affected+arrivemainlandgreece.5,#affected+arrivefyrom.5,#affected+arrivegreekislands.6,#affected+arrivemainlandgreece.6,#affected+arrivefyrom.6,#affected+arrivegreekislands.7,#affected+arrivemainlandgreece.7,#affected+arrivefyrom.7
01/03/2016,372,2072,920,208,3651,3234,92,1355,2525,310,2972,649,20,1675,2468,168,2044,3086,551,3474,1927,382
02/03/2016,16,609,1107,30,2072,920,208,3651,3234,92,1355,2525,310,2972,649,20,1675,2468,168,2044,3086,551
03/03/2016,428,2162,2073,457,609,1107,30,2072,920,208,3651,3234,92,1355,2525,310,2972,649,20,1675,2468,168
04/03/2016,218,2569,1061,269,2162,2073,457,609,1107,30,2072,920,208,3651,3234,92,1355,2525,310,2972,649,20
05/03/2016,115,332,1035,177,2569,1061,269,2162,2073,457,609,1107,30,2072,920,208,3651,3234,92,1355,2525,310
06/03/2016,236,630,1444,293,332,1035,177,2569,1061,269,2162,2073,457,609,1107,30,2072,920,208,3651,3234,92
07/03/2016,14,2480,980,261,630,1444,293,332,1035,177,2569,1061,269,2162,2073,457,609,1107,30,2072,920,208
08/03/2016,0,728,1171,127,2480,980,261,630,1444,293,332,1035,177,2569,1061,269,2162,2073,457,609,1107,30
09/03/2016,3,811,922,0,728,1171,127,2480,980,261,630,1444,293,332,1035,177,2569,1061,269,2162,2073,457
10/03/2016,0,3340,1169,0,811,922,0,728,1171,127,2480,980,261,630,1444,293,332,1035,177,2569,1061,269
11/03/2016,0,835,1381,0,3340,1169,0,811,922,0,728,1171,127,2480,980,261,630,1444,293,332,1035,177
12/03/2016,35,232,810,0,835,1381,0,3340,1169,0,811,922,0,728,1171,127,2480,980,261,630,1444,293
13/03/2016,12,2578,1326,0,232,810,0,835,1381,0,3340,1169,0,811,922,0,728,1171,127,2480,980,261
14/03/2016,0,1418,831,0,2578,1326,0,232,810,0,835,1381,0,3340,1169,0,811,922,0,728,1171,127
15/03/2016,0,301,693,0,1418,831,0,2578,1326,0,232,810,0,835,1381,0,3340,1169,0,811,922,0
16/03/2016,0,128,721,0,301,693,0,1418,831,0,2578,1326,0,232,810,0,835,1381,0,3340,1169,0
17/03/2016,0,252,882,0,128,721,0,301,693,0,1418,831,0,2578,1326,0,232,810,0,835,1381,0
18/03/2016,0,263,1068,0,252,882,0,128,721,0,301,693,0,1418,831,0,2578,1326,0,232,810,0
19/03/2016,30,1431,489,0,263,1068,0,252,882,0,128,721,0,301,693,0,1418,831,0,2578,1326,0
20/03/2016,0,926,608,0,1431,489,0,263,1068,0,252,882,0,128,721,0,301,693,0,1418,831,0
21/03/2016,0,931,4314,0,926,608,0,1431,489,0,263,1068,0,252,882,0,128,721,0,301,693,0
22/03/2016,0,880,616,0,931,4314,0,926,608,0,1431,489,0,263,1068,0,252,882,0,128,721,0
23/03/2016,49,539,254,0,880,616,0,931,4314,0,926,608,0,1431,489,0,263,1068,0,252,882,0
24/03/2016,31,269,95,0,539,254,0,880,616,0,931,4314,0,926,608,0,1431,489,0,263,1068,0
25/03/2016,38,83,316,0,269,95,0,539,254,0,880,616,0,931,4314,0,926,608,0,1431,489,0
26/03/2016,0,177,22,0,83,316,0,269,95,0,539,254,0,880,616,0,931,4314,0,926,608,0
27/03/2016,4,5,25,0,177,22,0,83,316,0,269,95,0,539,254,0,880,616,0,931,4314,0
28/03/2016,42,144,113,0,5,25,0,177,22,0,83,316,0,269,95,0,539,254,0,880,616,0
29/03/2016,37,161,0,0,144,113,0,5,25,0,177,22,0,83,316,0,269,95,0,539,254,0
30/03/2016,21,741,76,0,161,0,0,144,113,0,5,25,0,177,22,0,83,316,0,269,95,0
31/03/2016,14,267,11,0,741,76,0,161,0,0,144,113,0,5,25,0,177,22,0,83,316,0
01/04/2016,28,401,68,0,267,11,0,741,76,0,161,0,0,144,113,0,5,25,0,177,22,0
02/04/2016,32,555,102,0,401,68,0,267,11,0,741,76,0,161,0,0,144,113,0,5,25,0
03/04/2016,10,231,132,0,555,102,0,401,68,0,267,11,0,741,76,0,161,0,0,144,113,0
04/04/2016,28,262,105,0,231,132,0,555,102,0,401,68,0,267,11,0,741,76,0,161,0,0
05/04/2016,0,228,0,0,262,105,0,231,132,0,555,102,0,401,68,0,267,11,0,741,76,0
06/04/2016,4,28,31,0,228,0,0,262,105,0,231,132,0,555,102,0,401,68,0,267,11,0
07/04/2016,58,70,7,0,28,31,0,228,0,0,262,105,0,231,132,0,555,102,0,401,68,0
08/04/2016,93,157,32,0,70,7,0,28,31,0,228,0,0,262,105,0,231,132,0,555,102,0
09/04/2016,8,116,17,0,157,32,0,70,7,0,28,31,0,228,0,0,262,105,0,231,132,0
10/04/2016,30,59,14,0,116,17,0,157,32,0,70,7,0,28,31,0,228,0,0,262,105,0
11/04/2016,34,0,16,0,59,14,0,116,17,0,157,32,0,70,7,0,28,31,0,228,0,0
12/04/2016,22,75,64,0,0,16,0,59,14,0,116,17,0,157,32,0,70,7,0,28,31,0
13/04/2016,3,101,5,0,75,64,0,0,16,0,59,14,0,116,17,0,157,32,0,70,7,0
14/04/2016,34,30,10,0,101,5,0,75,64,0,0,16,0,59,14,0,116,17,0,157,32,0
15/04/2016,90,106,36,0,30,10,0,101,5,0,75,64,0,0,16,0,59,14,0,116,17,0
16/04/2016,41,79,0,0,106,36,0,30,10,0,101,5,0,75,64,0,0,16,0,59,14,0
17/04/2016,15,55,0,0,79,0,0,106,36,0,30,10,0,101,5,0,75,64,0,0,16,0
18/04/2016,17,107,34,0,55,0,0,79,0,0,106,36,0,30,10,0,101,5,0,75,64,0
