date,y,#affected+arrivegreekislands.1,#affected+arrivemainlandgreece.1,#affected+arrivefyrom.1,#affected+arriveserbia.1,#affected+arrivecroatia.1,#affected+arrivehungary.1,#affected+arrivegreekislands.2,#affected+arrivemainlandgreece.2,#affected+arrivefyrom.2,#affected+arriveserbia.2,#affected+arrivecroatia.2,#affected+arrivehungary.2,#affected+arrivegreekislands.3,#affected+arrivemainlandgreece.3,#affected+arrivefyrom.3,#affected+arriveserbia.3,#affected+arrivecroatia.3,#affected+arrivehungary.3,#affected+arrivegreekislands.4,#affected+arrivemainlandgreece.4,#affected+arrivefyrom.4,#affected+arriveserbia.4,#affected+arrivecroatia.4,#affected+arrivehungary.4,#affected+arrivegreekislands.5,#affected+arrivemainlandgreece.5,#affected+arrivefyrom.5,#affected+arriveserbia.5,#affected+arrivecroatia.5,#affected+arrivehungary.5,#affected+arrivegreekislands.6,#affected+arrivemainlandgreece.6,#affected+arrivefyrom.6,#affected+arriveserbia.6,#affected+arrivecroatia.6,#affected+arrivehungary.6,#affected+arrivegreekislands.7,#affected+arrivemainlandgreece.7,#affected+arrivefyrom.7,#affected+arriveserbia.7,#affected+arrivecroatia.7,#affected+arrivehungary.7
01/03/2016,0,2072,920,208,69,0,78,3651,3234,92,431,358,60,1355,2525,310,158,385,111,2972,649,20,0,250,140,1675,2468,168,475,841,76,2044,3086,551,1,0,166,3474,1927,382,106,507,112
02/03/2016,479,609,1107,30,372,436,70,2072,920,208,69,0,78,3651,3234,92,431,358,60,1355,2525,310,158,385,111,2972,649,20,0,250,140,1675,2468,168,475,841,76,2044,3086,551,1,0,166
03/03/2016,477,2162,2073,457,16,476,167,609,1107,30,372,436,70,2072,920,208,69,0,78,3651,3234,92,431,358,60,1355,2525,310,158,385,111,2972,649,20,0,250,140,1675,2468,168,475,841,76
04/03/2016,409,2569,1061,269,428,0,107,2162,2073,457,16,476,167,609,1107,30,372,436,70,2072,920,208,69,0,78,3651,3234,92,431,358,60,1355,2525,310,158,385,111,2972,649,20,0,250,140
05/03/2016,253,332,1035,177,218,410,248,2569,1061,269,428,0,107,2162,2073,457,16,476,167,609,1107,30,372,436,70,2072,920,208,69,0,78,3651,3234,92,431,358,60,1355,2525,310,158,385,111
06/03/2016,253,630,1444,293,115,253,89,332,1035,177,218,410,248,2569,1061,269,428,0,107,2162,2073,457,16,476,167,609,1107,30,372,436,70,2072,920,208,69,0,78,3651,3234,92,431,358,60
07/03/2016,0,2480,980,261,236,0,72,630,1444,293,115,253,89,332,1035,177,218,410,248,2569,1061,269,428,0,107,2162,2073,457,16,476,167,609,1107,30,372,436,70,2072,920,208,69,0,78
08/03/2016,0,728,1171,127,14,0,96,2480,980,261,236,0,72,630,1444,293,115,253,89,332,1035,177,218,410,248,2569,1061,269,428,0,107,2162,2073,457,16,476,167,609,1107,30,372,436,70
09/03/2016,0,811,922,0,0,0,127,728,1171,127,14,0,96,2480,980,261,236,0,72,630,1444,293,115,253,89,332,1035,177,218,410,248,2569,1061,269,428,0,107,2162,2073,457,16,476,167
10/03/2016,0,3340,1169,0,3,0,27,811,922,0,0,0,127,728,1171,127,14,0,96,2480,980,261,236,0,72,630,1444,293,115,253,89,332,1035,177,218,410,248,2569,1061,269,428,0,107
11/03/2016,0,835,1381,0,0,0,20,3340,1169,0,3,0,27,811,922,0,0,0,127,728,1171,127,14,0,96,2480,980,261,236,0,72,630,1444,293,115,253,89,332,1035,177,218,410,248
12/03/2016,0,232,810,0,0,0,112,835,1381,0,0,0,20,3340,1169,0,3,0,27,811,922,0,0,0,127,728,1171,127,14,0,96,2480,980,261,236,0,72,630,1444,293,115,253,89
13/03/2016,0,2578,1326,0,35,0,195,232,810,0,0,0,112,835,1381,0,0,0,20,3340,1169,0,3,0,27,811,922,0,0,0,127,728,1171,127,14,0,96,2480,980,261,236,0,72
